Employee_ID,Employee_Status,Attrition_Flag,Attrition,Age,Age_Group,Gender,Marital_Status,Education,Education_Field,Department,Job_Role,Job_Level,Job_Involvement,Business_Travel,Distance_From_Home,Distance_Category,Daily_Rate,Hourly_Rate,Monthly_Rate,Monthly_Income,Income_Range,Income_Category,Percent_Salary_Hike,Stock_Option_Level,Performance_Rating,Performance_Category,Environment_Satisfaction,Job_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Overall_Satisfaction,Over_Time,Attrition_Risk,Total_Working_Years,Experience_Group,Years_At_Company,Company_Tenure,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Current_Manager,Num_Companies_Worked,Training_Times_Last_Year
19,Ex-Employee,1,Yes,28,26-35,Male,Single,3,Life Sciences,Research & Development,Laboratory Technician,1,2,Travel Rarely,24,Far (16-30 km),103,50,12947,2028,<$3K,Lower Income,14,0,3,Good,3,3,2,3,2.75,Yes,High Risk,6,Mid-Level(6-10),4,4-7 Years,2,0,3,5,4
20,Active Employee,0,No,29,26-35,Female,Divorced,4,Life Sciences,Research & Development,Manufacturing Director,3,4,Travel Rarely,21,Far (16-30 km),1389,51,10195,9980,$6K-<10K,Middle Income,11,1,3,Good,2,1,3,3,2.25,No,Low Risk,10,Mid-Level(6-10),10,8-10 Years,9,8,8,1,1
21,Active Employee,0,No,32,26-35,Male,Divorced,2,Life Sciences,Research & Development,Research Scientist,1,4,Travel Rarely,5,Near (0-5 km),334,80,15053,3298,$3K-<6K,Lower Middle Income,12,2,3,Good,1,2,4,2,2.25,Yes,Moderate Risk,7,Mid-Level(6-10),6,4-7 Years,2,0,5,0,5
22,Active Employee,0,No,22,18-25,Male,Divorced,2,Medical,Research & Development,Laboratory Technician,1,4,Non-Travel,16,Far (16-30 km),1123,96,7324,2935,<$3K,Lower Income,13,2,3,Good,4,4,2,2,3,Yes,High Risk,1,Fresher(0-2),1,1-3 Years,0,0,0,1,2
23,Active Employee,0,No,53,46-55,Female,Married,4,Life Sciences,Sales,Manager,4,2,Travel Rarely,2,Near (0-5 km),1219,78,22021,15427,$15K+,Higher Income,16,0,3,Good,1,4,3,3,2.75,No,Low Risk,31,Expert(20+),25,15+ Years,8,3,7,2,3
24,Active Employee,0,No,38,35-45,Male,Single,3,Life Sciences,Research & Development,Research Scientist,1,3,Travel Rarely,2,Near (0-5 km),371,45,4306,3944,$3K-<6K,Lower Middle Income,11,0,3,Good,4,4,3,3,3.5,Yes,Moderate Risk,6,Mid-Level(6-10),3,1-3 Years,2,1,2,5,3
26,Active Employee,0,No,24,18-25,Female,Divorced,2,Other,Research & Development,Manufacturing Director,2,4,Non-Travel,11,Moderate (6-15 km),673,96,8232,4011,$3K-<6K,Lower Middle Income,18,1,3,Good,1,3,4,2,2.5,No,Low Risk,5,Junior(3-5),4,4-7 Years,2,1,3,0,5
27,Ex-Employee,1,Yes,36,35-45,Male,Single,4,Life Sciences,Sales,Sales Representative,1,2,Travel Rarely,9,Moderate (6-15 km),1218,82,6986,3407,$3K-<6K,Lower Middle Income,23,0,4,Excellent,3,1,2,3,2.25,No,Low Risk,10,Mid-Level(6-10),5,4-7 Years,3,0,3,7,4
28,Active Employee,0,No,34,26-35,Female,Single,4,Life Sciences,Research & Development,Research Director,3,3,Travel Rarely,7,Moderate (6-15 km),419,53,21293,11994,$10K-<15K,Upper Middle Income,11,0,3,Good,1,2,3,3,2.25,No,Low Risk,13,Senior(11-20),12,10-15 Years,6,2,11,0,4
30,Active Employee,0,No,21,18-25,Male,Single,2,Life Sciences,Research & Development,Research Scientist,1,3,Travel Rarely,15,Moderate (6-15 km),391,96,19281,1232,<$3K,Lower Income,14,0,3,Good,3,4,4,3,3.5,No,Low Risk,0,Fresher(0-2),0,New Joiner,0,0,0,1,6
31,Ex-Employee,1,Yes,34,26-35,Male,Single,1,Medical,Research & Development,Research Scientist,1,3,Travel Rarely,6,Moderate (6-15 km),699,83,17102,2960,<$3K,Lower Income,11,0,3,Good,2,1,3,3,2.25,No,Low Risk,8,Mid-Level(6-10),4,4-7 Years,2,1,3,2,2
32,Active Employee,0,No,53,46-55,Female,Divorced,3,Other,Research & Development,Manager,5,3,Travel Rarely,5,Near (0-5 km),1282,58,10735,19094,$15K+,Higher Income,11,1,3,Good,3,3,4,2,3,No,Low Risk,26,Expert(20+),14,10-15 Years,13,4,8,4,3
33,Ex-Employee,1,Yes,32,26-35,Female,Single,1,Life Sciences,Research & Development,Research Scientist,1,1,Travel Frequently,16,Far (16-30 km),1125,72,4681,3919,$3K-<6K,Lower Middle Income,22,0,4,Excellent,2,1,2,3,2,Yes,High Risk,10,Mid-Level(6-10),10,8-10 Years,2,6,7,1,5
35,Active Employee,0,No,42,35-45,Male,Married,4,Marketing,Sales,Sales Executive,2,3,Travel Rarely,8,Moderate (6-15 km),691,48,21173,6825,$6K-<10K,Middle Income,11,1,3,Good,3,2,4,3,3,No,Low Risk,10,Mid-Level(6-10),9,8-10 Years,7,4,2,0,2
36,Active Employee,0,No,44,35-45,Female,Married,4,Medical,Research & Development,Healthcare Representative,3,2,Travel Rarely,7,Moderate (6-15 km),477,42,2094,10248,$10K-<15K,Upper Middle Income,14,1,3,Good,1,4,4,3,3,No,Low Risk,24,Expert(20+),22,15+ Years,6,5,17,3,4
38,Active Employee,0,No,46,46-55,Female,Single,4,Marketing,Sales,Manager,5,3,Travel Rarely,2,Near (0-5 km),705,83,22822,18947,$15K+,Higher Income,12,0,3,Good,2,1,4,2,2.25,No,Low Risk,22,Expert(20+),2,1-3 Years,2,2,1,3,2
39,Active Employee,0,No,33,26-35,Male,Single,3,Medical,Research & Development,Laboratory Technician,1,3,Travel Rarely,2,Near (0-5 km),924,78,6670,2496,<$3K,Lower Income,11,0,3,Good,3,4,4,3,3.5,No,Low Risk,7,Mid-Level(6-10),1,1-3 Years,1,0,0,4,3
40,Active Employee,0,No,44,35-45,Male,Married,4,Other,Research & Development,Healthcare Representative,2,3,Travel Rarely,10,Moderate (6-15 km),1459,41,19121,6465,$6K-<10K,Middle Income,13,0,3,Good,4,4,4,4,4,Yes,Moderate Risk,9,Mid-Level(6-10),4,4-7 Years,2,1,3,2,5
41,Active Employee,0,No,30,26-35,Male,Single,2,Medical,Research & Development,Laboratory Technician,1,2,Travel Rarely,9,Moderate (6-15 km),125,83,16117,2206,<$3K,Lower Income,13,0,3,Good,4,3,1,3,2.75,No,Low Risk,10,Mid-Level(6-10),10,8-10 Years,0,1,8,1,5
42,Ex-Employee,1,Yes,39,35-45,Male,Married,3,Technical Degree,Sales,Sales Representative,2,3,Travel Rarely,5,Near (0-5 km),895,56,3335,2086,<$3K,Lower Income,14,1,3,Good,4,4,3,4,3.75,No,Low Risk,19,Senior(11-20),1,1-3 Years,0,0,0,3,6
45,Ex-Employee,1,Yes,24,18-25,Male,Married,3,Medical,Research & Development,Research Scientist,1,3,Travel Rarely,1,Near (0-5 km),813,61,3020,2293,<$3K,Lower Income,16,1,3,Good,2,4,1,2,2.25,Yes,Moderate Risk,6,Mid-Level(6-10),2,1-3 Years,0,2,0,2,2
46,Active Employee,0,No,43,35-45,Female,Divorced,2,Medical,Research & Development,Research Scientist,1,4,Travel Rarely,2,Near (0-5 km),1273,72,21923,2645,<$3K,Lower Income,12,2,3,Good,4,3,4,2,3.25,No,Low Risk,6,Mid-Level(6-10),5,4-7 Years,3,1,4,1,3
47,Ex-Employee,1,Yes,50,46-55,Male,Married,2,Marketing,Sales,Sales Representative,1,2,Travel Rarely,3,Near (0-5 km),869,86,3810,2683,<$3K,Lower Income,14,0,3,Good,1,3,3,3,2.5,Yes,Moderate Risk,3,Junior(3-5),3,1-3 Years,2,0,2,1,2
49,Active Employee,0,No,35,35-45,Female,Married,3,Marketing,Sales,Sales Representative,1,3,Travel Rarely,2,Near (0-5 km),890,97,9687,2014,<$3K,Lower Income,13,0,3,Good,4,4,1,3,3,No,Low Risk,2,Fresher(0-2),2,1-3 Years,2,2,2,1,3
51,Active Employee,0,No,36,35-45,Female,Married,4,Life Sciences,Research & Development,Research Scientist,1,2,Travel Rarely,5,Near (0-5 km),852,82,13072,3419,$3K-<6K,Lower Middle Income,14,1,3,Good,2,1,4,4,2.75,Yes,Moderate Risk,6,Mid-Level(6-10),1,1-3 Years,1,0,0,9,3
52,Active Employee,0,No,33,26-35,Female,Married,3,Life Sciences,Sales,Sales Executive,2,4,Travel Frequently,1,Near (0-5 km),1141,42,3193,5376,$3K-<6K,Lower Middle Income,19,2,3,Good,3,1,1,3,2,No,Low Risk,10,Mid-Level(6-10),5,4-7 Years,3,1,3,2,3
53,Active Employee,0,No,35,35-45,Male,Divorced,2,Other,Research & Development,Laboratory Technician,1,3,Travel Rarely,4,Near (0-5 km),464,75,10910,1951,<$3K,Lower Income,12,1,3,Good,3,4,3,3,3.25,No,Low Risk,1,Fresher(0-2),1,1-3 Years,0,0,0,1,3
54,Active Employee,0,No,27,26-35,Female,Divorced,4,Life Sciences,Research & Development,Laboratory Technician,1,3,Travel Rarely,2,Near (0-5 km),1240,33,19715,2341,<$3K,Lower Income,13,1,3,Good,4,1,4,3,3,No,Low Risk,1,Fresher(0-2),1,1-3 Years,0,0,0,1,6
55,Ex-Employee,1,Yes,26,26-35,Male,Single,3,Life Sciences,Research & Development,Laboratory Technician,1,1,Travel Rarely,25,Far (16-30 km),1357,48,10558,2293,<$3K,Lower Income,12,0,3,Good,1,3,3,2,2.25,No,Low Risk,1,Fresher(0-2),1,1-3 Years,0,0,1,1,2
56,Active Employee,0,No,27,26-35,Male,Single,3,Life Sciences,Sales,Sales Executive,3,3,Travel Frequently,8,Moderate (6-15 km),994,37,2975,8726,$6K-<10K,Middle Income,15,0,3,Good,4,3,4,3,3.5,No,Low Risk,9,Mid-Level(6-10),9,8-10 Years,8,1,7,1,0
57,Active Employee,0,No,30,26-35,Female,Single,2,Medical,Research & Development,Laboratory Technician,2,3,Travel Frequently,1,Near (0-5 km),721,58,10781,4011,$3K-<6K,Lower Middle Income,23,0,4,Excellent,3,4,4,3,3.5,No,Low Risk,12,Senior(11-20),12,10-15 Years,8,3,7,1,2
58,Ex-Employee,1,Yes,41,35-45,Female,Married,3,Technical Degree,Research & Development,Research Director,5,3,Travel Rarely,12,Moderate (6-15 km),1360,49,16280,19545,$15K+,Higher Income,12,0,3,Good,2,3,4,3,3,No,Low Risk,23,Expert(20+),22,15+ Years,15,15,8,1,0
60,Active Employee,0,No,34,26-35,Male,Single,4,Marketing,Sales,Sales Executive,2,3,Non-Travel,23,Far (16-30 km),1065,72,10034,4568,$3K-<6K,Lower Middle Income,20,0,4,Excellent,2,3,3,3,2.75,No,Low Risk,10,Mid-Level(6-10),9,8-10 Years,5,8,7,0,2
61,Active Employee,0,No,37,35-45,Male,Married,2,Life Sciences,Research & Development,Research Scientist,1,3,Travel Rarely,19,Far (16-30 km),408,73,10227,3022,$3K-<6K,Lower Middle Income,21,0,4,Excellent,2,2,1,3,2,No,Low Risk,8,Mid-Level(6-10),1,1-3 Years,0,0,0,4,1
62,Active Employee,0,No,46,46-55,Male,Single,4,Marketing,Sales,Sales Executive,2,3,Travel Frequently,5,Near (0-5 km),1211,98,20445,5772,$3K-<6K,Lower Middle Income,21,0,4,Excellent,1,4,3,3,2.75,Yes,Moderate Risk,14,Senior(11-20),9,8-10 Years,6,0,8,4,4
63,Active Employee,0,No,35,35-45,Male,Married,1,Life Sciences,Research & Development,Laboratory Technician,1,4,Travel Rarely,8,Moderate (6-15 km),1229,36,4892,2269,<$3K,Lower Income,19,0,3,Good,4,4,4,3,3.75,No,Low Risk,1,Fresher(0-2),1,1-3 Years,0,0,1,1,2
64,Ex-Employee,1,Yes,48,46-55,Male,Single,2,Life Sciences,Research & Development,Laboratory Technician,3,2,Travel Rarely,1,Near (0-5 km),626,98,19294,5381,$3K-<6K,Lower Middle Income,13,0,3,Good,1,3,4,3,2.75,Yes,Moderate Risk,23,Expert(20+),1,1-3 Years,0,0,0,9,2
65,Ex-Employee,1,Yes,28,26-35,Male,Single,4,Technical Degree,Research & Development,Laboratory Technician,1,3,Travel Rarely,5,Near (0-5 km),1434,50,11179,3441,$3K-<6K,Lower Middle Income,13,0,3,Good,3,3,3,2,2.75,Yes,Moderate Risk,2,Fresher(0-2),2,1-3 Years,2,2,2,1,3
68,Active Employee,0,No,44,35-45,Female,Divorced,5,Marketing,Sales,Sales Executive,2,3,Travel Rarely,1,Near (0-5 km),1488,75,4009,5454,$3K-<6K,Lower Middle Income,21,1,4,Excellent,2,1,3,2,2,Yes,High Risk,9,Mid-Level(6-10),4,4-7 Years,3,1,3,5,2
70,Active Employee,0,No,35,35-45,Male,Married,2,Medical,Research & Development,Healthcare Representative,3,2,Non-Travel,11,Moderate (6-15 km),1097,79,8302,9884,$6K-<10K,Middle Income,13,1,3,Good,3,1,3,3,2.5,Yes,Moderate Risk,10,Mid-Level(6-10),4,4-7 Years,0,2,3,2,3
72,Active Employee,0,No,26,26-35,Female,Married,3,Marketing,Sales,Sales Executive,2,2,Travel Rarely,23,Far (16-30 km),1443,47,21436,4157,$3K-<6K,Lower Middle Income,19,1,3,Good,3,4,3,2,3,Yes,High Risk,5,Junior(3-5),2,1-3 Years,2,0,0,7,2
73,Active Employee,0,No,33,26-35,Female,Single,2,Life Sciences,Research & Development,Research Director,3,3,Travel Frequently,1,Near (0-5 km),515,98,15146,13458,$10K-<15K,Upper Middle Income,12,0,3,Good,1,4,3,3,2.75,Yes,High Risk,15,Senior(11-20),15,10-15 Years,14,8,12,1,1
74,Active Employee,0,No,35,35-45,Male,Married,5,Life Sciences,Sales,Sales Executive,3,3,Travel Frequently,18,Far (16-30 km),853,71,11031,9069,$6K-<10K,Middle Income,22,1,4,Excellent,2,1,4,2,2.25,No,Low Risk,9,Mid-Level(6-10),9,8-10 Years,8,1,8,1,3
75,Active Employee,0,No,35,35-45,Female,Married,4,Medical,Research & Development,Laboratory Technician,1,3,Travel Rarely,23,Far (16-30 km),1142,30,16002,4014,$3K-<6K,Lower Middle Income,15,1,3,Good,3,1,3,3,2.5,Yes,High Risk,4,Junior(3-5),2,1-3 Years,2,2,2,3,3
76,Active Employee,0,No,31,26-35,Male,Divorced,4,Life Sciences,Research & Development,Laboratory Technician,2,3,Travel Rarely,7,Moderate (6-15 km),655,48,9528,5915,$3K-<6K,Lower Middle Income,22,1,4,Excellent,4,4,4,2,3.5,No,Low Risk,10,Mid-Level(6-10),7,4-7 Years,7,1,7,3,3
77,Active Employee,0,No,37,35-45,Male,Divorced,4,Life Sciences,Research & Development,Manufacturing Director,2,2,Travel Rarely,1,Near (0-5 km),1115,51,2689,5993,$3K-<6K,Lower Middle Income,18,1,3,Good,1,3,3,4,2.75,No,Low Risk,7,Mid-Level(6-10),7,4-7 Years,5,0,7,1,2
78,Active Employee,0,No,32,26-35,Male,Married,3,Medical,Research & Development,Manufacturing Director,2,3,Travel Rarely,1,Near (0-5 km),427,33,10877,6162,$6K-<10K,Middle Income,22,1,4,Excellent,1,4,2,3,2.5,Yes,High Risk,9,Mid-Level(6-10),9,8-10 Years,8,7,8,1,3
79,Active Employee,0,No,38,35-45,Female,Single,5,Life Sciences,Research & Development,Laboratory Technician,2,3,Travel Frequently,29,Far (16-30 km),653,50,5456,2406,<$3K,Lower Income,11,0,3,Good,4,4,4,3,3.75,No,Low Risk,10,Mid-Level(6-10),10,8-10 Years,3,9,9,1,2
80,Active Employee,0,No,50,46-55,Female,Divorced,2,Medical,Research & Development,Research Director,5,2,Travel Rarely,7,Moderate (6-15 km),989,43,16701,18740,$15K+,Higher Income,12,1,3,Good,2,3,4,2,2.75,Yes,High Risk,29,Expert(20+),27,15+ Years,3,13,8,5,2
81,Active Employee,0,No,59,56+,Female,Single,3,Life Sciences,Sales,Sales Executive,3,3,Travel Rarely,25,Far (16-30 km),1435,99,2354,7637,$6K-<10K,Middle Income,11,0,3,Good,1,1,4,2,2,No,Low Risk,28,Expert(20+),21,15+ Years,16,7,9,7,3
83,Active Employee,0,No,36,35-45,Female,Divorced,3,Technical Degree,Research & Development,Healthcare Representative,3,3,Travel Rarely,8,Moderate (6-15 km),1223,59,8202,10096,$10K-<15K,Upper Middle Income,13,3,3,Good,3,3,2,3,2.75,No,Low Risk,17,Senior(11-20),17,15+ Years,14,12,8,1,2
84,Active Employee,0,No,55,46-55,Female,Divorced,3,Medical,Research & Development,Manager,4,3,Travel Rarely,8,Moderate (6-15 km),836,33,19730,14756,$10K-<15K,Upper Middle Income,14,3,3,Good,4,3,3,3,3.25,Yes,Moderate Risk,21,Expert(20+),5,4-7 Years,0,0,2,2,2
85,Active Employee,0,No,36,35-45,Male,Single,3,Life Sciences,Research & Development,Manufacturing Director,2,2,Travel Frequently,11,Moderate (6-15 km),1195,95,22656,6499,$6K-<10K,Middle Income,13,0,3,Good,2,2,3,3,2.5,No,Low Risk,6,Mid-Level(6-10),6,4-7 Years,5,0,3,1,3
86,Active Employee,0,No,45,35-45,Male,Divorced,3,Life Sciences,Research & Development,Research Scientist,3,3,Travel Rarely,7,Moderate (6-15 km),1339,59,18787,9724,$6K-<10K,Middle Income,17,1,3,Good,2,1,3,3,2.25,No,Low Risk,25,Expert(20+),1,1-3 Years,0,0,0,2,2
88,Active Employee,0,No,35,35-45,Male,Married,3,Medical,Research & Development,Research Scientist,1,3,Travel Frequently,1,Near (0-5 km),664,79,5868,2194,<$3K,Lower Income,13,1,3,Good,2,1,4,2,2.25,No,Low Risk,5,Junior(3-5),3,1-3 Years,2,1,2,4,2
90,Ex-Employee,1,Yes,36,35-45,Male,Married,3,Medical,Research & Development,Research Scientist,1,2,Travel Rarely,9,Moderate (6-15 km),318,79,21777,3388,$3K-<6K,Lower Middle Income,17,1,3,Good,4,3,1,2,2.5,Yes,Moderate Risk,2,Fresher(0-2),1,1-3 Years,0,0,0,0,0
91,Active Employee,0,No,59,56+,Female,Single,1,Life Sciences,Sales,Sales Executive,2,2,Travel Frequently,1,Near (0-5 km),1225,57,24668,5473,$3K-<6K,Lower Middle Income,11,0,3,Good,1,3,4,2,2.5,No,Low Risk,20,Senior(11-20),4,4-7 Years,3,1,3,7,2
94,Active Employee,0,No,29,26-35,Male,Married,3,Life Sciences,Research & Development,Research Scientist,1,3,Travel Rarely,2,Near (0-5 km),1328,76,4956,2703,<$3K,Lower Income,23,1,4,Excellent,3,2,4,3,3,No,Low Risk,6,Mid-Level(6-10),5,4-7 Years,4,0,4,0,3
95,Active Employee,0,No,31,26-35,Male,Single,4,Medical,Research & Development,Research Scientist,1,3,Travel Rarely,1,Near (0-5 km),1082,87,18775,2501,<$3K,Lower Income,17,0,3,Good,3,2,2,3,2.5,No,Low Risk,1,Fresher(0-2),1,1-3 Years,1,1,0,1,4
96,Active Employee,0,No,32,26-35,Male,Married,3,Life Sciences,Research & Development,Research Scientist,2,3,Travel Rarely,1,Near (0-5 km),548,66,7346,6220,$6K-<10K,Middle Income,17,2,3,Good,2,2,2,3,2.25,No,Low Risk,10,Mid-Level(6-10),10,8-10 Years,4,0,9,1,3
97,Active Employee,0,No,36,35-45,Female,Married,3,Life Sciences,Research & Development,Laboratory Technician,1,4,Travel Rarely,6,Moderate (6-15 km),132,55,22002,3038,$3K-<6K,Lower Middle Income,12,0,3,Good,2,4,2,3,2.75,No,Low Risk,5,Junior(3-5),1,1-3 Years,0,0,0,3,3
98,Active Employee,0,No,31,26-35,Female,Single,4,Life Sciences,Research & Development,Manufacturing Director,2,3,Travel Rarely,8,Moderate (6-15 km),746,61,20682,4424,$3K-<6K,Lower Middle Income,23,0,4,Excellent,3,4,4,3,3.5,No,Low Risk,11,Senior(11-20),11,10-15 Years,7,1,8,1,2
100,Active Employee,0,No,35,35-45,Male,Single,4,Marketing,Sales,Sales Executive,2,2,Travel Rarely,1,Near (0-5 km),776,32,23016,4312,$3K-<6K,Lower Middle Income,14,0,3,Good,3,1,2,3,2.25,No,Low Risk,16,Senior(11-20),15,10-15 Years,13,2,8,0,2
101,Active Employee,0,No,45,35-45,Male,Married,4,Other,Research & Development,Research Director,3,3,Travel Rarely,6,Moderate (6-15 km),193,52,15067,13245,$10K-<15K,Upper Middle Income,14,0,3,Good,4,1,2,4,2.75,Yes,Moderate Risk,17,Senior(11-20),0,New Joiner,0,0,0,4,3
102,Active Employee,0,No,37,35-45,Male,Single,4,Medical,Research & Development,Research Director,3,3,Travel Rarely,7,Moderate (6-15 km),397,30,25258,13664,$10K-<15K,Upper Middle Income,13,0,3,Good,1,3,1,4,2.25,No,Low Risk,16,Senior(11-20),5,4-7 Years,2,0,2,4,3
103,Active Employee,0,No,46,46-55,Male,Divorced,2,Medical,Human Resources,Human Resources,2,3,Travel Rarely,5,Near (0-5 km),945,80,10425,5021,$3K-<6K,Lower Middle Income,22,1,4,Excellent,2,2,4,3,2.75,Yes,Moderate Risk,16,Senior(11-20),4,4-7 Years,2,0,2,8,2
104,Active Employee,0,No,30,26-35,Male,Married,1,Life Sciences,Research & Development,Laboratory Technician,2,2,Travel Rarely,1,Near (0-5 km),852,55,15998,5126,$3K-<6K,Lower Middle Income,12,2,3,Good,4,4,3,2,3.25,Yes,Moderate Risk,10,Mid-Level(6-10),10,8-10 Years,8,3,0,1,1
105,Active Employee,0,No,35,35-45,Male,Single,3,Medical,Research & Development,Research Scientist,1,2,Travel Rarely,1,Near (0-5 km),1214,30,26278,2859,<$3K,Lower Income,18,0,3,Good,2,3,1,3,2.25,No,Low Risk,6,Mid-Level(6-10),6,4-7 Years,4,0,4,1,3
106,Active Employee,0,No,55,46-55,Male,Married,2,Life Sciences,Sales,Sales Executive,3,3,Travel Rarely,1,Near (0-5 km),111,70,18092,10239,$10K-<15K,Upper Middle Income,14,1,3,Good,1,4,4,3,3,No,Low Risk,24,Expert(20+),1,1-3 Years,0,1,0,3,4
107,Active Employee,0,No,38,35-45,Female,Divorced,3,Medical,Research & Development,Research Scientist,2,1,Non-Travel,6,Moderate (6-15 km),573,79,15717,5329,$3K-<6K,Lower Middle Income,12,3,3,Good,2,4,4,3,3.25,Yes,Moderate Risk,17,Senior(11-20),13,10-15 Years,11,1,9,7,3
110,Active Employee,0,No,34,26-35,Male,Married,2,Medical,Research & Development,Manufacturing Director,2,3,Travel Rarely,1,Near (0-5 km),1153,94,17736,4325,$3K-<6K,Lower Middle Income,15,0,3,Good,1,2,3,3,2.25,No,Low Risk,5,Junior(3-5),5,4-7 Years,2,1,3,1,2
112,Active Employee,0,No,56,56+,Male,Single,3,Life Sciences,Research & Development,Manufacturing Director,3,1,Travel Rarely,7,Moderate (6-15 km),1400,49,21698,7260,$6K-<10K,Middle Income,11,0,3,Good,4,4,1,2,2.75,No,Low Risk,37,Expert(20+),6,4-7 Years,4,0,2,4,3
